"tiempo_residencia","max_personas","lugar_habitado","tipo_desague","material_piso","material_techo","material_paredes","problemas_plagas","plagas_cucarachas","plagas_roedores","plagas_otros","num_dormitorios","max_personas"
5,5,"Propio sin títulos","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,5
33,2,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,3,6
2,3,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,3
18,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Sin piso/tierra","Chapa","Chapa","Sí","Cucarachas","Mosquitos","Ratas",2,4
2,4,"Alquilado","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,1,4
19,2,"Prestado","Desagüe a red cloacal informal/vecinal","Sin piso/tierra","Chapa","Chapa","Sí","Cucarachas","Mosquitos",NA,1,2
0,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
2,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
22,4,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,4
3,3,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,3,6
25,2,"Propio sin títulos","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,2
30,3,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",3,6
40,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
35,3,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,2,5
10,1,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",2,1
3,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
2,1,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
15,3,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,3,5
3,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,3,5
2,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
2,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
45,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",5,4
6,3,"Propio con algún comprobante de tenencia","No sabe","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,5
10,5,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Sin piso/tierra","Caña/adobe","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,1,5
9,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,2,4
3,3,"Ocupado/Tomado","No sabe","Sin piso/tierra","Lona","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
1,3,"Ocupado/Tomado","No sabe","Sin piso/tierra","Lona","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,3
9,5,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,5
10,5,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,5
3,5,"Propio sin títulos","No sabe","Sin piso/tierra","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,5
20,3,"Alquilado","A pozo negro/ciego","Cerámico","Caña/adobe","Mampostería (ladrillo/block","No",NA,NA,NA,1,3
3,4,"Alquilado","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",1,4
4,4,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos",NA,2,7
33,2,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,5
6,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",3,5
2,2,"Alquilado","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,4
10,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,4
22,4,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,4,10
11,1,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,2
10,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,5
6,3,"Otro","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,5
34,2,"Prestado","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,4
2,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,2,5
10,5,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,5
20,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,3,5
3,3,"Ocupado/Tomado","A pozo negro/ciego","Sin piso/tierra","Lona","Chapa","Sí","Cucarachas","Mosquitos","Ratas",2,4
3,2,"Propio sin títulos","No sabe","Sin piso/tierra","Lona","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",1,2
30,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,2,3
45,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,7
5,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
1,1,"Prestado","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
42,4,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,3,8
0,2,"Alquilado","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",3,7
25,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",3,3
30,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,1
0,5,"Prestado","Desagüe a red cloacal pública","Sin piso/tierra","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,5
36,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,5
35,4,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",2,7
6,4,"Prestado","A cámara séptica","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,1,4
24,4,"Prestado","A pozo negro/ciego","Carpeta de cemento","Caña/adobe","Trama en madera/tapial de madera","Sí","Cucarachas",NA,NA,4,10
14,2,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,3,2
15,1,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,2
12,1,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,1
43,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Caña/adobe","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,3,5
16,3,"Prestado","A pozo negro/ciego","Carpeta de cemento","Caña/adobe","Trama en madera/tapial de madera","No",NA,NA,NA,2,6
29,3,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos",NA,2,5
3,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,5
10,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Sin piso/tierra","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,5
2,1,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
4,6,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Lona","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,6
7,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,1,2
7,3,"Propio sin títulos","A pozo negro/ciego","Sin piso/tierra","Lona","Trama en madera/tapial de madera","Sí","Cucarachas",NA,NA,2,5
10,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,1
10,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos","Ratas",2,1
5,3,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",2,1
15,3,"Alquilado","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
4,2,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
5,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",1,3
3,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,2
2,1,"Ocupado/Tomado","A pozo negro/ciego","Sin piso/tierra","Lona","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,1
7,2,"Propio sin títulos","A pozo negro/ciego","Sin piso/tierra","Lona","Trama en madera/tapial de madera","No",NA,NA,NA,1,2
10,1,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,1,1
16,1,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos","Ratas",1,1
3,3,"Prestado","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
25,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Madera","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",4,7
35,1,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,1
2,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
35,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos","Ratas",2,4
27,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,3
12,2,"Alquilado","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,2
16,4,"Propio sin títulos","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,6
13,2,"Alquilado","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",2,3
13,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Chapa","Sí",NA,NA,"Ratas",2,5
14,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,3,5
1,4,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,1,4
14,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,"Ratas",1,2
13,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Planchón (describir qué es)","Sí",NA,NA,NA,2,4
10,3,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,1,3
11,3,"Propio sin títulos","A pozo negro/ciego","Madera","Chapa","Chapa","No",NA,NA,NA,1,2
7,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
8,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Chapa","No",NA,NA,NA,2,4
10,5,"Propio sin títulos","A pozo negro/ciego","Madera","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,1,5
8,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,3,4
11,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,"Ratas",2,4
3,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,4
10,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Planchón (describir qué es)","No",NA,NA,NA,2,5
12,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,5
1,4,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Madera","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos","Ratas",1,4
20,4,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",2,6
30,4,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,4
12,2,"Ocupado/Tomado","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",3,5
12,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",3,5
12,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas",NA,NA,2,6
14,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,1,3
10,1,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,2
14,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,3,7
12,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,4,10
14,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Chapa","Sí",NA,"Mosquitos","Ratas",3,5
14,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,NA,4,8
16,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,"Ratas",3,5
10,6,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,"Ratas",1,6
12,4,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,4
14,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,"Ratas",2,4
14,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,3,6
14,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,5
12,5,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,9
3,3,"Prestado","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",3,4
6,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,3
1,2,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas",NA,NA,2,3
2,2,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,2
30,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
5,5,"Propio sin títulos","No sabe","Cerámico","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,"Ratas",1,4
5,3,"Alquilado","No sabe","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,3
30,2,"Prestado","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Trama en madera/tapial de madera","Sí","Cucarachas",NA,NA,2,3
28,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",4,7
9,4,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,4
16,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,2
10,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
10,2,"Propio con algún comprobante de tenencia","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,4
10,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,5
19,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",4,7
8,1,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,1,1
25,1,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,1
9,3,"Alquilado","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,5
4,1,"Alquilado","No sabe","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
2,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Chapa","Sí","Cucarachas",NA,NA,1,2
4,3,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,5
13,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",4,3
5,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,1
10,5,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,5
19,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,1,4
2,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,3
14,4,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,2,6
1,2,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",2,5
18,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,4
24,3,"Propio sin títulos","A pozo negro/ciego","Sin piso/tierra","Chapa","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,3
20,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,3
4,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
2,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,2
2,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
30,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,4
6,3,"Alquilado","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
14,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,1,2
4,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Chapa","No",NA,NA,NA,2,3
15,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,3
2,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos","Ratas",2,7
12,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,2
10,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos","Ratas",2,3
17,4,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,3,6
26,3,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
5,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",3,8
10,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",3,5
9,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
20,3,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",2,4
5,6,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,3,9
17,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
23,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,3
45,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,3
12,7,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,7
1,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,2
10,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,3
4,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,NA,2,4
